target,horizon_days,features,test_from,n_test,acc_%,baseline_%,edge_pp,mag_edge_pp
BANKS,1,P (price only),2019-01,109,63.3,65.1,-1.8,-1.2
BANKS,1,P+N (+news),2019-01,109,64.2,65.1,-0.9,-4.7
BANKS,1,P (price only),2019-07,118,51.7,56.8,-5.1,17.1
BANKS,1,P+N (+news),2019-07,118,48.3,56.8,-8.5,4.3
BANKS,1,P (price only),2020-01,80,61.3,55.0,6.2,9.1
BANKS,1,P+N (+news),2020-01,80,52.5,55.0,-2.5,0.8
BANKS,1,P (price only),2020-07,125,52.0,59.2,-7.2,-0.3
BANKS,1,P+N (+news),2020-07,125,53.6,59.2,-5.6,6.0
BANKS,1,P (price only),2021-01,111,53.2,56.8,-3.6,19.6
BANKS,1,P+N (+news),2021-01,111,49.5,56.8,-7.2,17.1
BANKS,1,P (price only),2021-07,124,46.0,53.2,-7.3,-3.3
BANKS,1,P+N (+news),2021-07,124,49.2,53.2,-4.0,-4.0
BANKS,5,P (price only),2019-01,109,44.0,68.8,-24.8,-36.5
BANKS,5,P+N (+news),2019-01,109,57.8,68.8,-11.0,-18.2
BANKS,5,P (price only),2019-07,118,59.3,56.8,2.5,24.1
BANKS,5,P+N (+news),2019-07,118,49.2,56.8,-7.6,4.4
BANKS,5,P (price only),2020-01,80,43.8,56.2,-12.5,-6.3
BANKS,5,P+N (+news),2020-01,80,43.8,56.2,-12.5,-5.2
BANKS,5,P (price only),2020-07,125,54.4,52.0,2.4,15.4
BANKS,5,P+N (+news),2020-07,125,49.6,52.0,-2.4,12.2
BANKS,5,P (price only),2021-01,111,45.0,55.9,-10.8,17.8
BANKS,5,P+N (+news),2021-01,111,45.9,55.9,-9.9,13.2
BANKS,5,P (price only),2021-07,124,48.4,57.3,-8.9,-1.5
BANKS,5,P+N (+news),2021-07,124,50.8,57.3,-6.5,-1.8
BANKS,10,P (price only),2019-01,109,55.0,56.9,-1.8,27.9
BANKS,10,P+N (+news),2019-01,109,60.6,56.9,3.7,49.2
BANKS,10,P (price only),2019-07,118,61.0,70.3,-9.3,26.3
BANKS,10,P+N (+news),2019-07,118,44.1,70.3,-26.3,4.7
BANKS,10,P (price only),2020-01,80,46.2,61.3,-15.0,-21.0
BANKS,10,P+N (+news),2020-01,80,48.8,61.3,-12.5,-23.2
BANKS,10,P (price only),2020-07,125,48.8,39.2,9.6,13.2
BANKS,10,P+N (+news),2020-07,125,42.4,39.2,3.2,1.8
BANKS,10,P (price only),2021-01,111,46.8,55.0,-8.1,7.8
BANKS,10,P+N (+news),2021-01,111,49.5,55.0,-5.4,19.1
BANKS,10,P (price only),2021-07,124,54.8,52.4,2.4,8.3
BANKS,10,P+N (+news),2021-07,124,66.1,52.4,13.7,18.9
SPSL20,1,P (price only),2019-01,117,51.3,60.7,-9.4,-9.3
SPSL20,1,P+N (+news),2019-01,117,44.4,60.7,-16.2,-28.4
SPSL20,1,P (price only),2019-07,124,54.0,58.9,-4.8,19.0
SPSL20,1,P+N (+news),2019-07,124,53.2,58.9,-5.6,17.0
SPSL20,1,P (price only),2020-01,82,61.0,61.0,0.0,21.0
SPSL20,1,P+N (+news),2020-01,82,57.3,61.0,-3.7,19.0
SPSL20,1,P (price only),2020-07,126,54.8,62.7,-7.9,13.0
SPSL20,1,P+N (+news),2020-07,126,57.1,62.7,-5.6,17.5
SPSL20,1,P (price only),2021-01,114,58.8,64.9,-6.1,17.5
SPSL20,1,P+N (+news),2021-01,114,57.9,64.9,-7.0,21.6
SPSL20,1,P (price only),2021-07,124,59.7,54.0,5.6,32.0
SPSL20,1,P+N (+news),2021-07,124,58.9,54.0,4.8,30.2
SPSL20,5,P (price only),2019-01,117,51.3,65.8,-14.5,-29.6
SPSL20,5,P+N (+news),2019-01,117,51.3,65.8,-14.5,-29.8
SPSL20,5,P (price only),2019-07,124,58.9,54.8,4.0,30.7
SPSL20,5,P+N (+news),2019-07,124,58.9,54.8,4.0,23.7
SPSL20,5,P (price only),2020-01,82,61.0,57.3,3.7,11.8
SPSL20,5,P+N (+news),2020-01,82,63.4,57.3,6.1,9.3
SPSL20,5,P (price only),2020-07,126,58.7,52.4,6.3,30.1
SPSL20,5,P+N (+news),2020-07,126,53.2,52.4,0.8,21.3
SPSL20,5,P (price only),2021-01,114,58.8,63.2,-4.4,13.4
SPSL20,5,P+N (+news),2021-01,114,49.1,63.2,-14.0,8.4
SPSL20,5,P (price only),2021-07,124,56.5,56.5,0.0,50.4
SPSL20,5,P+N (+news),2021-07,124,55.6,56.5,-0.8,51.8
SPSL20,10,P (price only),2019-01,117,51.3,65.0,-13.7,-33.3
SPSL20,10,P+N (+news),2019-01,117,46.2,65.0,-18.8,-34.9
SPSL20,10,P (price only),2019-07,124,65.3,66.9,-1.6,42.9
SPSL20,10,P+N (+news),2019-07,124,58.9,66.9,-8.1,34.5
SPSL20,10,P (price only),2020-01,82,59.8,57.3,2.4,3.1
SPSL20,10,P+N (+news),2020-01,82,62.2,57.3,4.9,12.5
SPSL20,10,P (price only),2020-07,126,61.9,47.6,14.3,39.2
SPSL20,10,P+N (+news),2020-07,126,53.2,47.6,5.6,29.4
SPSL20,10,P (price only),2021-01,114,55.3,57.0,-1.8,26.3
SPSL20,10,P+N (+news),2021-01,114,56.1,57.0,-0.9,23.2
SPSL20,10,P (price only),2021-07,124,58.9,41.9,16.9,58.1
SPSL20,10,P+N (+news),2021-07,124,66.1,41.9,24.2,65.9
