target,horizon_days,features,folds,median_acc_%,median_baseline_%,median_edge_pp,folds_pos,sign_p,median_mag_edge_pp,mag_folds_pos,mag_sign_p
BANKS,1,P (price only),6,52.6,56.8,-4.35,1/6,0.9844,4.4,3/6,0.6562
BANKS,1,P+N (+news),6,51.0,56.8,-4.8,0/6,1.0,2.55,4/6,0.3438
BANKS,5,P (price only),6,46.7,56.5,-9.85,2/6,0.8906,6.95,3/6,0.6562
BANKS,5,P+N (+news),6,49.4,56.5,-8.75,0/6,1.0,1.3,3/6,0.6562
BANKS,10,P (price only),6,51.8,56.0,-4.95,2/6,0.8906,10.75,5/6,0.1094
BANKS,10,P+N (+news),6,49.1,56.0,-1.1,3/6,0.6562,11.8,5/6,0.1094
SPSL20,1,P (price only),6,56.8,60.9,-5.45,1/6,0.9844,18.25,5/6,0.1094
SPSL20,1,P+N (+news),6,57.2,60.9,-5.6,1/6,0.9844,18.25,5/6,0.1094
SPSL20,5,P (price only),6,58.8,56.9,1.85,3/6,0.6562,21.75,5/6,0.1094
SPSL20,5,P+N (+news),6,54.4,56.9,0.0,3/6,0.6562,15.3,5/6,0.1094
SPSL20,10,P (price only),6,59.3,57.1,0.4,3/6,0.6562,32.75,5/6,0.1094
SPSL20,10,P+N (+news),6,57.5,57.1,2.0,3/6,0.6562,26.3,5/6,0.1094
