target,test_from,model,RMSE,MAE,MAPE_%,Theil_U2,DM_vs_naive_p
BANKS,2019-01,Naive,1.3089,0.7991,0.7277,1.0,
BANKS,2019-01,"ARIMA(2,1,0)",1.2926,0.7856,0.7139,0.9875,0.2983
BANKS,2019-01,Hybrid ARIMA+LSTM,1.2876,0.7842,0.7127,0.9837,0.0801
BANKS,2019-01,Hybrid+News,1.2959,0.849,0.7771,0.9901,0.7512
BANKS,2019-07,Naive,1.4172,0.9567,0.8851,1.0,
BANKS,2019-07,"ARIMA(2,1,0)",1.3749,0.9432,0.8718,0.9702,0.2976
BANKS,2019-07,Hybrid ARIMA+LSTM,1.3731,0.9349,0.864,0.9689,0.3525
BANKS,2019-07,Hybrid+News,1.3971,0.9608,0.887,0.9858,0.6368
BANKS,2020-01,Naive,2.3215,1.4507,1.8329,1.0,
BANKS,2020-01,"ARIMA(2,1,0)",2.2012,1.4349,1.8036,0.9482,0.222
BANKS,2020-01,Hybrid ARIMA+LSTM,2.238,1.4344,1.8083,0.964,0.2529
BANKS,2020-01,Hybrid+News,2.3414,1.5776,1.9696,1.0086,0.7077
BANKS,2020-07,Naive,1.157,0.781,0.9391,1.0,
BANKS,2020-07,"ARIMA(2,1,0)",1.1361,0.7809,0.9405,0.982,0.5247
BANKS,2020-07,Hybrid ARIMA+LSTM,1.15,0.7985,0.962,0.994,0.8386
BANKS,2020-07,Hybrid+News,1.1477,0.7897,0.9519,0.992,0.7952
BANKS,2021-01,Naive,2.0,1.292,1.28,1.0,
BANKS,2021-01,"ARIMA(2,1,0)",2.1112,1.3714,1.3567,1.0556,0.176
BANKS,2021-01,Hybrid ARIMA+LSTM,2.0964,1.3638,1.3494,1.0482,0.1961
BANKS,2021-01,Hybrid+News,2.1572,1.4499,1.4369,1.0786,0.0108
BANKS,2021-07,Naive,1.0166,0.6946,0.6801,1.0,
BANKS,2021-07,"ARIMA(2,1,0)",1.0439,0.7291,0.7134,1.0268,0.429
BANKS,2021-07,Hybrid ARIMA+LSTM,1.0268,0.7195,0.704,1.01,0.7294
BANKS,2021-07,Hybrid+News,1.1157,0.7892,0.7736,1.0975,0.0425
SPSL20,2019-01,Naive,21.1781,13.1131,0.4787,1.0,
SPSL20,2019-01,"ARIMA(2,1,0)",21.136,12.9806,0.4728,0.998,0.9175
SPSL20,2019-01,Hybrid ARIMA+LSTM,21.2433,13.29,0.4833,1.0031,0.8746
SPSL20,2019-01,Hybrid+News,21.8029,13.8723,0.5049,1.0295,0.1029
SPSL20,2019-07,Naive,26.4112,18.9202,0.6585,1.0,
SPSL20,2019-07,"ARIMA(2,1,0)",25.4684,18.4584,0.6416,0.9643,0.1898
SPSL20,2019-07,Hybrid ARIMA+LSTM,25.7261,18.6366,0.6476,0.9741,0.398
SPSL20,2019-07,Hybrid+News,26.9017,19.5546,0.6838,1.0186,0.5418
SPSL20,2020-01,Naive,63.9128,34.9811,1.603,1.0,
SPSL20,2020-01,"ARIMA(2,1,0)",60.8784,33.4172,1.5249,0.9525,0.1782
SPSL20,2020-01,Hybrid ARIMA+LSTM,61.0932,33.4071,1.5269,0.9559,0.141
SPSL20,2020-01,Hybrid+News,61.8275,34.3086,1.5629,0.9674,0.2556
SPSL20,2020-07,Naive,28.5561,19.408,0.8327,1.0,
SPSL20,2020-07,"ARIMA(2,1,0)",27.9895,19.0534,0.8208,0.9802,0.3561
SPSL20,2020-07,Hybrid ARIMA+LSTM,28.8104,19.8149,0.854,1.0089,0.7784
SPSL20,2020-07,Hybrid+News,28.4215,19.2352,0.8293,0.9953,0.8485
SPSL20,2021-01,Naive,55.7157,37.8644,1.2579,1.0,
SPSL20,2021-01,"ARIMA(2,1,0)",54.4698,38.0313,1.2639,0.9776,0.5618
SPSL20,2021-01,Hybrid ARIMA+LSTM,55.103,38.1149,1.2669,0.989,0.782
SPSL20,2021-01,Hybrid+News,56.5297,40.0025,1.33,1.0146,0.5809
SPSL20,2021-07,Naive,40.5846,29.8697,0.8616,1.0,
SPSL20,2021-07,"ARIMA(2,1,0)",40.3589,30.4227,0.8791,0.9944,0.8262
SPSL20,2021-07,Hybrid ARIMA+LSTM,39.998,30.5431,0.8831,0.9855,0.6546
SPSL20,2021-07,Hybrid+News,43.3095,33.0499,0.9494,1.0671,0.0811
