target,level,window,n_test,MAPE_price_only,MAPE_price_macro,MAPE_naive,improvement_%,R2_price_macro,macro_vs_naive_ratio,DM_p_macro_vs_naive
SPSL20,L0 PAPER STYLE,0,528,0.7691,0.7694,0.7918,-0.041,0.99781,0.9717,0.8614
SPSL20,L1 + train-only scaling,0,528,0.7691,0.7694,0.7918,-0.042,0.99781,0.9717,0.8614
SPSL20,L2 + publication lag,0,528,0.7691,0.7635,0.7918,0.723,0.99783,0.9643,0.9857
SPSL20,L3 + walk-forward,0,241,0.5709,0.6124,0.5716,-7.281,0.98351,1.0714,0.0102
SPSL20,L3 + walk-forward,1,208,1.0828,1.0786,1.1341,0.382,0.97348,0.9511,0.0247
SPSL20,L3 + walk-forward,2,238,1.0553,1.074,1.0472,-1.769,0.98524,1.0256,0.7344
SPSL20,L3 + walk-forward,3,231,1.8508,1.996,1.8845,-7.845,0.98342,1.0592,0.2839
SPSL20,L3 + walk-forward,4,242,0.9026,0.9478,0.9036,-5.011,0.97702,1.0489,0.0611
SPSL20,L3 + walk-forward,5,240,0.665,0.672,0.7363,-1.052,0.99333,0.9127,0.0004
SPSL20,L3 + walk-forward,6,237,0.7759,0.7815,0.7833,-0.722,0.99075,0.9977,0.7731
BANKS,L0 PAPER STYLE,0,640,0.8323,0.8309,0.8514,0.174,0.99837,0.976,0.6255
BANKS,L1 + train-only scaling,0,640,0.8323,0.8306,0.8514,0.216,0.99837,0.9756,0.5947
BANKS,L2 + publication lag,0,636,0.836,0.8381,0.855,-0.248,0.99835,0.9802,0.4831
BANKS,L3 + walk-forward,0,227,0.8119,0.804,0.8026,0.975,0.98532,1.0017,0.2904
BANKS,L3 + walk-forward,1,205,1.3071,1.3162,1.2995,-0.697,0.96659,1.0129,0.0985
BANKS,L3 + walk-forward,2,235,1.007,0.995,0.9545,1.189,0.88377,1.0425,0.8658
BANKS,L3 + walk-forward,3,192,1.276,1.5605,1.2461,-22.296,0.98861,1.2523,0.0887
BANKS,L3 + walk-forward,4,242,1.4529,1.4645,1.4266,-0.798,0.99075,1.0266,0.2879
BANKS,L3 + walk-forward,5,240,0.8235,0.8312,0.8973,-0.933,0.99365,0.9263,0.0001
BANKS,L3 + walk-forward,6,238,0.9035,0.9606,0.9312,-6.319,0.98926,1.0315,0.8047
