group,horizon_days,model,calibration,test_from,n_test,base_rate_%,actual_up_%,accuracy_%,AUC,Brier,Brier_climatology,Brier_skill,ECE,MCE,prob_spread,prob_std
BANKS,5,Logistic,raw,2017-01,95,55.5,56.8,49.5,0.544,0.2439,0.2455,0.0066,0.1064,0.3493,0.416,0.0866
BANKS,5,Logistic,Platt,2017-01,95,55.5,56.8,55.8,0.544,0.2464,0.2455,-0.0036,0.0749,0.3488,0.345,0.0716
BANKS,5,Logistic,isotonic,2017-01,95,55.5,56.8,52.6,0.512,0.2589,0.2455,-0.0544,0.1201,0.1643,0.31,0.1321
BANKS,5,XGBoost,raw,2017-01,95,55.5,56.8,51.6,0.434,0.2939,0.2455,-0.1971,0.2327,0.8995,0.638,0.1664
BANKS,5,XGBoost,Platt,2017-01,95,55.5,56.8,37.9,0.434,0.2539,0.2455,-0.0342,0.1378,0.1566,0.062,0.0163
BANKS,5,XGBoost,isotonic,2017-01,95,55.5,56.8,46.3,0.494,0.2551,0.2455,-0.0391,0.0886,0.1669,0.139,0.0529
BANKS,5,Logistic,raw,2017-07,113,52.9,50.4,61.9,0.632,0.2419,0.2506,0.0347,0.0929,0.1393,0.37,0.0816
BANKS,5,Logistic,Platt,2017-07,113,52.9,50.4,54.9,0.632,0.2454,0.2506,0.0208,0.0381,0.1305,0.207,0.0451
BANKS,5,Logistic,isotonic,2017-07,113,52.9,50.4,53.1,0.577,0.2452,0.2506,0.0215,0.0215,0.0714,0.172,0.0425
BANKS,5,XGBoost,raw,2017-07,113,52.9,50.4,62.8,0.668,0.2314,0.2506,0.0767,0.0521,0.1807,0.748,0.1828
BANKS,5,XGBoost,Platt,2017-07,113,52.9,50.4,50.4,0.332,0.2593,0.2506,-0.0346,0.065,0.065,0.068,0.0167
BANKS,5,XGBoost,isotonic,2017-07,113,52.9,50.4,57.5,0.614,0.2469,0.2506,0.015,0.0637,0.0665,0.156,0.0539
BANKS,5,Logistic,raw,2018-01,105,52.7,39.0,54.3,0.497,0.2611,0.2567,-0.0169,0.147,0.7514,0.436,0.1082
