group,horizon_days,model,calibration,folds,accuracy_pct,AUC,Brier,Brier_clim,Brier_skill,ECE,MCE,prob_std,folds_skill_positive,USABLE
BANKS,5,Logistic,Platt,19,52.4,0.496,0.251,0.2501,-0.0036,0.0749,0.1331,0.0228,8/19,no
BANKS,5,Logistic,isotonic,19,52.4,0.512,0.2556,0.2501,-0.0195,0.1022,0.2268,0.0613,7/19,no
BANKS,5,Logistic,raw,19,50.4,0.523,0.2583,0.2501,-0.0239,0.1108,0.4368,0.1073,6/19,no
BANKS,5,XGBoost,Platt,19,49.2,0.447,0.2543,0.2501,-0.0168,0.0775,0.126,0.012,6/19,no
BANKS,5,XGBoost,isotonic,19,48.3,0.537,0.2552,0.2501,-0.0088,0.0886,0.3221,0.0424,7/19,no
BANKS,5,XGBoost,raw,19,52.5,0.516,0.2868,0.2501,-0.1289,0.1882,0.5674,0.1635,5/19,no
BANKS,10,Logistic,Platt,19,51.6,0.449,0.2555,0.251,-0.0262,0.1397,0.3631,0.0268,8/19,no
BANKS,10,Logistic,isotonic,19,50.5,0.5,0.2513,0.251,-0.0051,0.1166,0.1728,0.0379,8/19,no
BANKS,10,Logistic,raw,19,52.5,0.528,0.2606,0.251,-0.0346,0.1587,0.5495,0.1016,7/19,no
BANKS,10,XGBoost,Platt,19,54.0,0.505,0.2484,0.251,-0.0056,0.1144,0.1413,0.0209,9/19,no
BANKS,10,XGBoost,isotonic,19,50.0,0.504,0.2549,0.251,-0.0144,0.1215,0.2938,0.0456,7/19,no
BANKS,10,XGBoost,raw,19,52.6,0.527,0.2852,0.251,-0.1427,0.2225,0.6775,0.2004,2/19,no
BANKS,22,Logistic,Platt,18,49.7,0.408,0.254,0.2508,-0.0055,0.1647,0.5162,0.0431,7/18,no
BANKS,22,Logistic,isotonic,18,53.6,0.514,0.2576,0.2508,-0.0182,0.1651,0.4005,0.069,8/18,no
BANKS,22,Logistic,raw,18,53.2,0.537,0.2565,0.2508,-0.0288,0.2114,0.6429,0.1218,7/18,no
BANKS,22,XGBoost,Platt,18,51.65,0.464,0.2592,0.2508,-0.0348,0.1564,0.375,0.0428,7/18,no
BANKS,22,XGBoost,isotonic,18,53.0,0.502,0.2548,0.2508,-0.0221,0.1867,0.6438,0.0674,8/18,no
BANKS,22,XGBoost,raw,18,49.95,0.482,0.299,0.2508,-0.1848,0.2472,0.708,0.1942,4/18,no
SECTOR,5,Logistic,Platt,16,50.1,0.539,0.253,0.2469,-0.0084,0.1126,0.1976,0.0297,6/16,no
SECTOR,5,Logistic,isotonic,16,52.6,0.505,0.2565,0.2469,-0.0236,0.1156,0.3984,0.0783,6/16,no
SECTOR,5,Logistic,raw,16,53.9,0.535,0.2584,0.2469,-0.024,0.1473,0.4856,0.1014,5/16,no
SECTOR,5,XGBoost,Platt,16,53.95,0.5225,0.249,0.2469,-0.0125,0.11,0.145,0.026,6/16,no
SECTOR,5,XGBoost,isotonic,16,50.65,0.5205,0.2527,0.2469,-0.0309,0.1108,0.505,0.0754,4/16,no
SECTOR,5,XGBoost,raw,16,56.55,0.5505,0.2766,0.2469,-0.082,0.18,0.5514,0.171,4/16,no
SECTOR,10,Logistic,Platt,16,51.55,0.5375,0.2508,0.2444,-0.0216,0.1792,0.337,0.0448,4/16,no
SECTOR,10,Logistic,isotonic,16,53.3,0.54,0.2504,0.2444,-0.0143,0.1482,0.3974,0.076,4/16,no
SECTOR,10,Logistic,raw,16,55.1,0.5375,0.2518,0.2444,-0.0376,0.1598,0.6686,0.116,6/16,no
SECTOR,10,XGBoost,Platt,16,47.8,0.528,0.2548,0.2444,-0.03,0.1235,0.1849,0.054,5/16,no
SECTOR,10,XGBoost,isotonic,16,50.65,0.4885,0.2561,0.2444,-0.0484,0.13,0.494,0.0866,4/16,no
SECTOR,10,XGBoost,raw,16,50.6,0.508,0.2912,0.2444,-0.1582,0.216,0.6596,0.2006,4/16,no
SECTOR,22,Logistic,Platt,15,45.6,0.492,0.2506,0.2371,-0.008,0.2122,0.3156,0.0423,7/15,no
SECTOR,22,Logistic,isotonic,15,55.7,0.508,0.2508,0.2371,-0.0557,0.2117,0.345,0.0949,6/15,no
SECTOR,22,Logistic,raw,15,52.8,0.508,0.2472,0.2371,-0.0827,0.1973,0.6504,0.1303,4/15,no
SECTOR,22,XGBoost,Platt,15,48.4,0.445,0.2527,0.2371,-0.0293,0.1898,0.2559,0.0319,4/15,no
SECTOR,22,XGBoost,isotonic,15,50.4,0.491,0.2626,0.2371,-0.0915,0.2176,0.3589,0.0812,2/15,no
SECTOR,22,XGBoost,raw,15,54.5,0.555,0.2916,0.2371,-0.1824,0.2287,0.7957,0.2323,4/15,no
