bin_low,bin_high,n,mean_predicted,actual_frequency,gap,group,horizon_days,model,calibration
0.25,0.375,2,0.349,0.0,0.349,BANKS,5,Logistic,raw
0.375,0.5,21,0.456,0.714,0.258,BANKS,5,Logistic,raw
0.5,0.625,47,0.558,0.511,0.047,BANKS,5,Logistic,raw
0.625,0.75,25,0.671,0.6,0.071,BANKS,5,Logistic,raw
0.25,0.375,2,0.337,0.0,0.337,BANKS,5,Logistic,Platt
0.375,0.5,45,0.455,0.533,0.078,BANKS,5,Logistic,Platt
0.5,0.625,43,0.554,0.581,0.027,BANKS,5,Logistic,Platt
0.625,0.75,5,0.651,1.0,0.349,BANKS,5,Logistic,Platt
0.375,0.5,58,0.403,0.534,0.132,BANKS,5,Logistic,isotonic
0.5,0.625,7,0.55,0.714,0.164,BANKS,5,Logistic,isotonic
0.625,0.75,30,0.688,0.6,0.088,BANKS,5,Logistic,isotonic
0.25,0.375,9,0.32,0.333,0.014,BANKS,5,XGBoost,raw
0.375,0.5,16,0.44,0.75,0.31,BANKS,5,XGBoost,raw
0.5,0.625,32,0.549,0.688,0.138,BANKS,5,XGBoost,raw
0.625,0.75,13,0.703,0.385,0.318,BANKS,5,XGBoost,raw
0.75,0.875,24,0.815,0.5,0.315,BANKS,5,XGBoost,raw
0.875,1.0,1,0.9,0.0,0.9,BANKS,5,XGBoost,raw
0.375,0.5,66,0.48,0.636,0.157,BANKS,5,XGBoost,Platt
0.5,0.625,29,0.509,0.414,0.095,BANKS,5,XGBoost,Platt
0.375,0.5,44,0.447,0.614,0.167,BANKS,5,XGBoost,isotonic
0.5,0.625,51,0.55,0.529,0.021,BANKS,5,XGBoost,isotonic
0.25,0.375,11,0.316,0.455,0.139,BANKS,5,Logistic,raw
0.375,0.5,46,0.45,0.37,0.08,BANKS,5,Logistic,raw
0.5,0.625,52,0.544,0.635,0.091,BANKS,5,Logistic,raw
0.625,0.75,4,0.639,0.5,0.139,BANKS,5,Logistic,raw
0.375,0.5,17,0.461,0.353,0.108,BANKS,5,Logistic,Platt
0.5,0.625,94,0.555,0.532,0.024,BANKS,5,Logistic,Platt
0.625,0.75,2,0.63,0.5,0.13,BANKS,5,Logistic,Platt
0.375,0.5,15,0.471,0.4,0.071,BANKS,5,Logistic,isotonic
0.5,0.625,91,0.515,0.505,0.01,BANKS,5,Logistic,isotonic
0.625,0.75,7,0.643,0.714,0.071,BANKS,5,Logistic,isotonic
0.0,0.125,1,0.124,0.0,0.124,BANKS,5,XGBoost,raw
0.125,0.25,5,0.219,0.4,0.181,BANKS,5,XGBoost,raw
0.25,0.375,22,0.319,0.318,0.0,BANKS,5,XGBoost,raw
0.375,0.5,26,0.446,0.423,0.023,BANKS,5,XGBoost,raw
0.5,0.625,19,0.538,0.474,0.065,BANKS,5,XGBoost,raw
0.625,0.75,21,0.676,0.714,0.039,BANKS,5,XGBoost,raw
0.75,0.875,19,0.8,0.684,0.116,BANKS,5,XGBoost,raw
0.5,0.625,113,0.569,0.504,0.065,BANKS,5,XGBoost,Platt
0.375,0.5,15,0.446,0.4,0.046,BANKS,5,XGBoost,isotonic
0.5,0.625,98,0.587,0.52,0.066,BANKS,5,XGBoost,isotonic
0.125,0.25,1,0.249,1.0,0.751,BANKS,5,Logistic,raw
0.25,0.375,21,0.327,0.429,0.102,BANKS,5,Logistic,raw
0.375,0.5,34,0.448,0.294,0.154,BANKS,5,Logistic,raw
0.5,0.625,40,0.56,0.475,0.085,BANKS,5,Logistic,raw
0.625,0.75,9,0.658,0.222,0.436,BANKS,5,Logistic,raw
0.25,0.375,7,0.35,0.571,0.221,BANKS,5,Logistic,Platt
0.375,0.5,32,0.446,0.312,0.133,BANKS,5,Logistic,Platt
0.5,0.625,50,0.561,0.42,0.141,BANKS,5,Logistic,Platt
0.625,0.75,16,0.656,0.375,0.281,BANKS,5,Logistic,Platt
0.375,0.5,58,0.433,0.362,0.071,BANKS,5,Logistic,isotonic
0.5,0.625,20,0.543,0.55,0.007,BANKS,5,Logistic,isotonic
0.625,0.75,14,0.671,0.286,0.386,BANKS,5,Logistic,isotonic
0.75,0.875,10,0.767,0.4,0.367,BANKS,5,Logistic,isotonic
0.875,1.0,3,1.0,0.333,0.667,BANKS,5,Logistic,isotonic
0.125,0.25,10,0.222,0.1,0.122,BANKS,5,XGBoost,raw
0.25,0.375,24,0.301,0.5,0.199,BANKS,5,XGBoost,raw
0.375,0.5,21,0.44,0.333,0.106,BANKS,5,XGBoost,raw
0.5,0.625,21,0.56,0.571,0.011,BANKS,5,XGBoost,raw
0.625,0.75,10,0.703,0.4,0.303,BANKS,5,XGBoost,raw
0.75,0.875,17,0.803,0.235,0.567,BANKS,5,XGBoost,raw
0.875,1.0,2,0.889,0.5,0.389,BANKS,5,XGBoost,raw
0.5,0.625,105,0.554,0.39,0.164,BANKS,5,XGBoost,Platt
0.375,0.5,6,0.446,0.167,0.28,BANKS,5,XGBoost,isotonic
0.5,0.625,99,0.555,0.404,0.151,BANKS,5,XGBoost,isotonic
0.25,0.375,12,0.332,0.75,0.418,BANKS,5,Logistic,raw
0.375,0.5,13,0.463,0.385,0.078,BANKS,5,Logistic,raw
0.5,0.625,50,0.572,0.28,0.292,BANKS,5,Logistic,raw
0.625,0.75,27,0.672,0.444,0.228,BANKS,5,Logistic,raw
0.75,0.875,1,0.76,0.0,0.76,BANKS,5,Logistic,raw
0.375,0.5,54,0.477,0.37,0.107,BANKS,5,Logistic,Platt
0.5,0.625,49,0.512,0.408,0.103,BANKS,5,Logistic,Platt
0.375,0.5,33,0.43,0.455,0.024,BANKS,5,Logistic,isotonic
0.5,0.625,57,0.535,0.333,0.202,BANKS,5,Logistic,isotonic
0.625,0.75,5,0.714,0.4,0.314,BANKS,5,Logistic,isotonic
0.75,0.875,2,0.826,0.5,0.326,BANKS,5,Logistic,isotonic
0.875,1.0,6,1.0,0.5,0.5,BANKS,5,Logistic,isotonic
0.125,0.25,2,0.221,0.5,0.279,BANKS,5,XGBoost,raw
0.25,0.375,14,0.315,0.286,0.029,BANKS,5,XGBoost,raw
0.375,0.5,17,0.433,0.471,0.038,BANKS,5,XGBoost,raw
0.5,0.625,23,0.554,0.348,0.206,BANKS,5,XGBoost,raw
0.625,0.75,31,0.698,0.419,0.279,BANKS,5,XGBoost,raw
0.75,0.875,12,0.8,0.5,0.3,BANKS,5,XGBoost,raw
0.875,1.0,4,0.881,0.0,0.881,BANKS,5,XGBoost,raw
0.375,0.5,102,0.481,0.382,0.099,BANKS,5,XGBoost,Platt
0.5,0.625,1,0.502,1.0,0.498,BANKS,5,XGBoost,Platt
0.375,0.5,27,0.405,0.444,0.039,BANKS,5,XGBoost,isotonic
0.5,0.625,76,0.526,0.368,0.158,BANKS,5,XGBoost,isotonic
0.25,0.375,6,0.299,0.0,0.299,BANKS,5,Logistic,raw
0.375,0.5,27,0.439,0.556,0.117,BANKS,5,Logistic,raw
0.5,0.625,40,0.571,0.225,0.346,BANKS,5,Logistic,raw
0.625,0.75,23,0.687,0.348,0.339,BANKS,5,Logistic,raw
0.75,0.875,13,0.796,0.154,0.642,BANKS,5,Logistic,raw
0.375,0.5,105,0.473,0.314,0.159,BANKS,5,Logistic,Platt
0.5,0.625,4,0.508,0.25,0.258,BANKS,5,Logistic,Platt
0.375,0.5,43,0.415,0.419,0.004,BANKS,5,Logistic,isotonic
0.5,0.625,44,0.524,0.227,0.297,BANKS,5,Logistic,isotonic
0.625,0.75,22,0.714,0.273,0.442,BANKS,5,Logistic,isotonic
0.125,0.25,2,0.238,0.5,0.262,BANKS,5,XGBoost,raw
0.25,0.375,19,0.31,0.421,0.111,BANKS,5,XGBoost,raw
0.375,0.5,34,0.428,0.382,0.046,BANKS,5,XGBoost,raw
0.5,0.625,11,0.565,0.182,0.383,BANKS,5,XGBoost,raw
0.625,0.75,18,0.689,0.222,0.467,BANKS,5,XGBoost,raw
0.75,0.875,14,0.811,0.286,0.525,BANKS,5,XGBoost,raw
0.875,1.0,11,0.899,0.182,0.718,BANKS,5,XGBoost,raw
0.375,0.5,109,0.469,0.312,0.157,BANKS,5,XGBoost,Platt
0.25,0.375,1,0.345,0.0,0.345,BANKS,5,XGBoost,isotonic
0.375,0.5,108,0.474,0.315,0.16,BANKS,5,XGBoost,isotonic
0.125,0.25,2,0.221,0.0,0.221,BANKS,5,Logistic,raw
0.25,0.375,8,0.321,0.5,0.179,BANKS,5,Logistic,raw
0.375,0.5,27,0.452,0.593,0.141,BANKS,5,Logistic,raw
0.5,0.625,54,0.568,0.5,0.068,BANKS,5,Logistic,raw
0.625,0.75,27,0.662,0.556,0.107,BANKS,5,Logistic,raw
0.25,0.375,20,0.365,0.45,0.085,BANKS,5,Logistic,Platt
0.375,0.5,98,0.405,0.541,0.136,BANKS,5,Logistic,Platt
0.0,0.125,4,0.0,0.5,0.5,BANKS,5,Logistic,isotonic
0.375,0.5,114,0.402,0.526,0.124,BANKS,5,Logistic,isotonic
0.125,0.25,1,0.2,1.0,0.8,BANKS,5,XGBoost,raw
0.25,0.375,17,0.326,0.471,0.144,BANKS,5,XGBoost,raw
0.375,0.5,18,0.459,0.444,0.015,BANKS,5,XGBoost,raw
0.5,0.625,22,0.57,0.545,0.025,BANKS,5,XGBoost,raw
0.625,0.75,37,0.686,0.568,0.118,BANKS,5,XGBoost,raw
0.75,0.875,18,0.81,0.611,0.199,BANKS,5,XGBoost,raw
0.875,1.0,5,0.909,0.2,0.709,BANKS,5,XGBoost,raw
0.375,0.5,118,0.399,0.525,0.126,BANKS,5,XGBoost,Platt
0.25,0.375,5,0.28,0.2,0.08,BANKS,5,XGBoost,isotonic
0.375,0.5,113,0.413,0.54,0.127,BANKS,5,XGBoost,isotonic
0.125,0.25,3,0.24,1.0,0.76,BANKS,5,Logistic,raw
0.25,0.375,10,0.332,0.4,0.068,BANKS,5,Logistic,raw
0.375,0.5,15,0.446,0.333,0.112,BANKS,5,Logistic,raw
0.5,0.625,31,0.574,0.387,0.187,BANKS,5,Logistic,raw
0.625,0.75,3,0.668,0.333,0.335,BANKS,5,Logistic,raw
0.75,0.875,1,0.825,1.0,0.175,BANKS,5,Logistic,raw
0.875,1.0,17,0.961,0.588,0.373,BANKS,5,Logistic,raw
0.0,0.125,8,0.071,0.75,0.679,BANKS,5,Logistic,Platt
0.125,0.25,4,0.188,0.25,0.062,BANKS,5,Logistic,Platt
