group,horizon_days,label,fold,test_from,n_test,acc_logistic_%,acc_xgboost_%,best_model,best_acc_%,baseline_%,edge_pp,mag_weighted_edge_pp
BANKS,1,binary up/down,0,2017-01,95,51.6,53.7,XGBoost,53.7,53.7,0.0,-2.2
BANKS,1,binary up/down,1,2017-07,113,56.6,59.3,XGBoost,59.3,51.3,8.0,2.4
BANKS,1,binary up/down,2,2018-01,105,50.5,53.3,XGBoost,53.3,55.2,-1.9,17.2
BANKS,1,binary up/down,3,2018-07,103,51.5,58.3,XGBoost,58.3,53.4,4.9,14.6
BANKS,1,binary up/down,4,2019-01,109,59.6,46.8,Logistic,59.6,65.1,-5.5,-7.8
BANKS,1,binary up/down,5,2019-07,118,56.8,58.5,XGBoost,58.5,56.8,1.7,15.7
BANKS,1,binary up/down,6,2020-01,80,51.2,61.3,XGBoost,61.3,55.0,6.2,-10.0
BANKS,1,binary up/down,7,2020-07,125,45.6,53.6,XGBoost,53.6,59.2,-5.6,10.2
BANKS,1,binary up/down,8,2021-01,111,55.0,45.9,Logistic,55.0,56.8,-1.8,20.7
BANKS,1,binary up/down,9,2021-07,124,45.2,49.2,XGBoost,49.2,53.2,-4.0,-2.1
BANKS,1,binary up/down,10,2022-01,94,55.3,54.3,Logistic,55.3,66.0,-10.6,-5.9
BANKS,1,binary up/down,11,2022-07,98,61.2,55.1,Logistic,61.2,58.2,3.1,9.5
BANKS,1,binary up/down,12,2023-01,119,56.3,50.4,Logistic,56.3,59.7,-3.4,33.0
BANKS,1,binary up/down,13,2023-07,123,47.2,52.8,XGBoost,52.8,57.7,-4.9,6.7
BANKS,1,binary up/down,14,2024-01,115,63.5,62.6,Logistic,63.5,67.8,-4.3,25.9
BANKS,1,binary up/down,15,2024-07,125,67.2,61.6,Logistic,67.2,72.0,-4.8,45.8
BANKS,1,binary up/down,16,2025-01,114,52.6,62.3,XGBoost,62.3,53.5,8.8,17.9
BANKS,1,binary up/down,17,2025-07,124,53.2,50.0,Logistic,53.2,57.3,-4.0,30.6
BANKS,1,binary up/down,18,2026-01,118,51.7,50.8,Logistic,51.7,55.1,-3.4,5.6
BANKS,1,3-class Buy/Hold/Sell,0,2017-01,95,32.6,42.1,XGBoost,42.1,58.9,-16.8,6.2
BANKS,1,3-class Buy/Hold/Sell,1,2017-07,113,39.8,43.4,XGBoost,43.4,54.9,-11.5,12.3
BANKS,1,3-class Buy/Hold/Sell,2,2018-01,105,54.3,58.1,XGBoost,58.1,72.4,-14.3,0.4
BANKS,1,3-class Buy/Hold/Sell,3,2018-07,103,35.0,34.0,Logistic,35.0,44.7,-9.7,23.2
BANKS,1,3-class Buy/Hold/Sell,4,2019-01,109,36.7,33.9,Logistic,36.7,54.1,-17.4,19.1
BANKS,1,3-class Buy/Hold/Sell,5,2019-07,118,44.1,30.5,Logistic,44.1,44.1,0.0,50.3
BANKS,1,3-class Buy/Hold/Sell,6,2020-01,80,35.0,38.8,XGBoost,38.8,48.8,-10.0,38.6
BANKS,1,3-class Buy/Hold/Sell,7,2020-07,125,28.8,40.0,XGBoost,40.0,41.6,-1.6,40.0
BANKS,1,3-class Buy/Hold/Sell,8,2021-01,111,37.8,33.3,Logistic,37.8,36.9,0.9,49.8
BANKS,1,3-class Buy/Hold/Sell,9,2021-07,124,32.3,28.2,Logistic,32.3,57.3,-25.0,3.8
BANKS,1,3-class Buy/Hold/Sell,10,2022-01,94,27.7,27.7,Logistic,27.7,40.4,-12.8,42.1
BANKS,1,3-class Buy/Hold/Sell,11,2022-07,98,40.8,44.9,XGBoost,44.9,35.7,9.2,57.7
BANKS,1,3-class Buy/Hold/Sell,12,2023-01,119,43.7,44.5,XGBoost,44.5,43.7,0.8,62.7
BANKS,1,3-class Buy/Hold/Sell,13,2023-07,123,34.1,31.7,Logistic,34.1,38.2,-4.1,34.1
BANKS,1,3-class Buy/Hold/Sell,14,2024-01,115,51.3,41.7,Logistic,51.3,47.0,4.3,28.8
BANKS,1,3-class Buy/Hold/Sell,15,2024-07,125,48.8,48.0,Logistic,48.8,46.4,2.4,54.7
BANKS,1,3-class Buy/Hold/Sell,16,2025-01,114,37.7,39.5,XGBoost,39.5,38.6,0.9,41.2
BANKS,1,3-class Buy/Hold/Sell,17,2025-07,124,44.4,49.2,XGBoost,49.2,60.5,-11.3,33.1
BANKS,1,3-class Buy/Hold/Sell,18,2026-01,118,44.1,44.9,XGBoost,44.9,57.6,-12.7,27.4
BANKS,5,binary up/down,0,2017-01,95,52.6,45.3,Logistic,52.6,63.2,-10.5,-0.1
BANKS,5,binary up/down,1,2017-07,113,65.5,55.8,Logistic,65.5,54.0,11.5,12.8
BANKS,5,binary up/down,2,2018-01,105,54.3,48.6,Logistic,54.3,45.7,8.6,34.9
BANKS,5,binary up/down,3,2018-07,103,38.8,52.4,XGBoost,52.4,53.4,-1.0,16.2
BANKS,5,binary up/down,4,2019-01,109,39.4,43.1,XGBoost,43.1,62.4,-19.3,20.8
BANKS,5,binary up/down,5,2019-07,118,61.9,56.8,Logistic,61.9,56.8,5.1,34.8
BANKS,5,binary up/down,6,2020-01,80,47.5,50.0,XGBoost,50.0,56.2,-6.2,8.4
BANKS,5,binary up/down,7,2020-07,125,47.2,60.0,XGBoost,60.0,54.4,5.6,3.0
BANKS,5,binary up/down,8,2021-01,111,45.9,37.8,Logistic,45.9,55.9,-9.9,4.0
BANKS,5,binary up/down,9,2021-07,124,48.4,46.0,Logistic,48.4,57.3,-8.9,4.9
BANKS,5,binary up/down,10,2022-01,94,58.5,63.8,XGBoost,63.8,58.5,5.3,59.9
BANKS,5,binary up/down,11,2022-07,98,52.0,45.9,Logistic,52.0,54.1,-2.0,12.0
BANKS,5,binary up/down,12,2023-01,119,42.9,42.0,Logistic,42.9,47.9,-5.0,19.9
BANKS,5,binary up/down,13,2023-07,123,48.0,39.8,Logistic,48.0,55.3,-7.3,2.9
