group,horizon_days,label,folds,median_acc_%,median_baseline_%,median_edge_pp,folds_positive,sign_p,median_mag_edge_pp,mag_folds_positive,mag_sign_p,BEATS_BASELINE,MAG_EDGE_REAL
BANKS,1,3-class Buy/Hold/Sell,19,42.1,46.4,-9.7,6/19,0.9682,34.1,19/19,0.0,no,YES
BANKS,5,3-class Buy/Hold/Sell,19,38.1,43.5,-4.5,7/19,0.9165,39.4,19/19,0.0,no,YES
BANKS,10,3-class Buy/Hold/Sell,19,36.9,39.8,-1.7,8/19,0.8204,29.5,16/19,0.0022,no,YES
BANKS,22,3-class Buy/Hold/Sell,18,39.0,41.0,-8.7,7/18,0.8811,1.7,9/18,0.5927,no,no
FINANCE,1,3-class Buy/Hold/Sell,19,41.2,39.0,2.1,11/19,0.3238,-2.6,7/19,0.9165,no,no
FINANCE,5,3-class Buy/Hold/Sell,19,41.0,43.9,-1.8,6/19,0.9682,-13.9,5/19,0.9904,no,no
FINANCE,10,3-class Buy/Hold/Sell,19,37.1,45.1,-10.5,5/19,0.9904,-26.2,4/19,0.9978,no,no
FINANCE,22,3-class Buy/Hold/Sell,18,41.4,54.9,-15.15,2/18,0.9999,-24.4,4/18,0.9962,no,no
SECTOR,1,3-class Buy/Hold/Sell,19,45.2,40.7,4.3,11/19,0.3238,48.3,19/19,0.0,no,YES
SECTOR,5,3-class Buy/Hold/Sell,19,42.4,42.4,1.6,10/19,0.5,-11.1,8/19,0.8204,no,no
SECTOR,10,3-class Buy/Hold/Sell,19,39.0,48.1,-9.6,6/19,0.9682,-28.1,6/19,0.9682,no,no
SECTOR,22,3-class Buy/Hold/Sell,18,39.8,55.5,-14.15,4/18,0.9962,-27.4,5/18,0.9846,no,no
BANKS,1,binary up/down,19,56.3,56.8,-3.4,6/19,0.9682,10.2,14/19,0.0318,no,YES
BANKS,5,binary up/down,19,52.4,55.3,-0.9,7/19,0.9165,8.1,14/19,0.0318,no,YES
BANKS,10,binary up/down,19,55.1,55.5,-1.7,7/19,0.9165,11.5,15/19,0.0096,no,YES
BANKS,22,binary up/down,18,55.3,56.4,-2.35,5/18,0.9846,6.4,11/18,0.2403,no,no
FINANCE,1,binary up/down,19,56.9,54.3,1.9,12/19,0.1796,11.0,17/19,0.0004,no,YES
FINANCE,5,binary up/down,19,56.5,57.9,-1.1,5/19,0.9904,-2.9,9/19,0.6762,no,no
FINANCE,10,binary up/down,19,52.6,57.4,-7.2,5/19,0.9904,-11.1,5/19,0.9904,no,no
FINANCE,22,binary up/down,18,53.8,66.4,-11.45,1/18,1.0,-12.5,5/18,0.9846,no,no
SECTOR,1,binary up/down,19,57.1,54.8,1.9,12/19,0.1796,3.7,14/19,0.0318,no,YES
SECTOR,5,binary up/down,19,56.5,58.1,0.0,8/19,0.8204,-0.5,9/19,0.6762,no,no
SECTOR,10,binary up/down,19,54.9,58.1,-2.4,6/19,0.9682,-4.9,6/19,0.9682,no,no
SECTOR,22,binary up/down,18,54.5,64.1,-7.2,3/18,0.9993,-15.1,6/18,0.9519,no,no
