dataset,method,horizon,MAPE
HNB-daily,Naive,1,0.39058653465159987
HNB-daily,Naive,3,0.9025285086373587
HNB-daily,Naive,5,1.5496467790389066
HNB-daily,Naive,10,2.693996540037812
HNB-daily,Recursive,1,0.6921203190654152
HNB-daily,Recursive,3,0.9892929132517815
HNB-daily,Recursive,5,1.606852894848895
HNB-daily,Recursive,10,2.7398156436935577
HNB-daily,Direct,1,0.6921193994179943
HNB-daily,Direct,3,2.1422224070891662
HNB-daily,Direct,5,3.0482881532783557
HNB-daily,Direct,10,3.6777674108525544
HNB-daily,Multi-output,1,1.425414461838936
HNB-daily,Multi-output,3,2.1070805751744333
HNB-daily,Multi-output,5,2.3526858431490947
HNB-daily,Multi-output,10,3.5319897869132477
HNB-hourly,Naive,1,0.29420039301189005
HNB-hourly,Naive,5,0.8477558825689994
HNB-hourly,Naive,25,2.281459946155404
HNB-hourly,Naive,110,5.0330589246228294
HNB-hourly,Recursive,1,3.3206220114701575
HNB-hourly,Recursive,5,6.677284912737659
HNB-hourly,Recursive,25,19.986733668323634
HNB-hourly,Recursive,110,29.297116192164108
HNB-hourly,Direct,1,3.320621056318963
HNB-hourly,Direct,5,8.789216403407652
HNB-hourly,Direct,25,10.84539798304187
HNB-hourly,Direct,110,13.63278719558271
HNB-hourly,Multi-output,1,17.749027229346563
HNB-hourly,Multi-output,5,19.578656690382466
HNB-hourly,Multi-output,25,15.395389756123512
HNB-hourly,Multi-output,110,25.0115355454153
